mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7687714576721192,0.03557381559204791,0.1278911590576172,0.016208957146138833,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7972027972027972,0.8041958041958042,0.7535211267605634,0.7676056338028169,0.8309859154929577,0.7907022554909879,0.027433543079323233,15
1.1734817504882813,0.04729853953881904,0.11693720817565918,0.012378221007835023,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.8251748251748252,0.8041958041958042,0.7535211267605634,0.7535211267605634,0.823943661971831,0.7920713089727174,0.032344786758420674,14
1.5844481468200684,0.05075529019802046,0.14168930053710938,0.015322194987415154,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.8041958041958042,0.8041958041958042,0.7535211267605634,0.7676056338028169,0.8309859154929577,0.7921008568895893,0.027903529576621112,13
2.003339385986328,0.09078323392612438,0.15855937004089354,0.014457868293747955,2,400,"{'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7832167832167832,0.8041958041958042,0.7535211267605634,0.7535211267605634,0.8309859154929577,0.7850881512853345,0.029893689140514452,16
0.6811715126037597,0.015058349015632846,0.10818719863891602,0.008309994142246698,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8181818181818182,0.8321678321678322,0.8028169014084507,0.7816901408450704,0.8380281690140845,0.8145769723234512,0.020455976351977292,10
1.2702967643737793,0.030564699950536015,0.15406451225280762,0.04832952888899763,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8181818181818182,0.8321678321678322,0.8028169014084507,0.7816901408450704,0.8309859154929577,0.8131685216192258,0.01898215459503706,12
1.6433908462524414,0.07394803389321694,0.14708251953125,0.019426875678038528,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8251748251748252,0.8321678321678322,0.8169014084507042,0.7887323943661971,0.8380281690140845,0.8202009258347285,0.017244781291509696,8
2.1410290718078615,0.16176349115758829,0.18387966156005858,0.03501732713798501,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.8251748251748252,0.8321678321678322,0.8028169014084507,0.7746478873239436,0.8380281690140845,0.8145671230178273,0.023256577878640855,11
0.6633468627929687,0.057296888450250855,0.11598429679870606,0.015528508997436815,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8251748251748252,0.8461538461538461,0.8169014084507042,0.7676056338028169,0.8380281690140845,0.8187727765192555,0.02750657322773919,9
1.260212516784668,0.025038705667885467,0.11698808670043945,0.013671871688482615,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8321678321678322,0.8461538461538461,0.8169014084507042,0.795774647887324,0.8380281690140845,0.8258051807347581,0.017804847789635522,6
1.774923324584961,0.16829869645369647,0.1816493034362793,0.046480143589378735,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8321678321678322,0.8461538461538461,0.8169014084507042,0.795774647887324,0.8450704225352113,0.8272136314389835,0.018957280692560603,4
2.2521737575531007,0.21303480648370962,0.15655999183654784,0.005367273417190625,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.8251748251748252,0.8461538461538461,0.8169014084507042,0.795774647887324,0.8380281690140845,0.8244065793361568,0.01752253754210694,7
0.5906002521514893,0.0435218834949632,0.09649786949157715,0.005852968656277868,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8461538461538461,0.8601398601398601,0.8169014084507042,0.795774647887324,0.8309859154929577,0.8299911356249385,0.02241997938936574,3
1.084292459487915,0.02082218597861929,0.12796382904052733,0.013082824758339311,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8321678321678322,0.8531468531468531,0.8169014084507042,0.795774647887324,0.8380281690140845,0.8272037821333598,0.019538584701313054,5
1.5055236339569091,0.0763077149514219,0.14184927940368652,0.010668914714566878,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8461538461538461,0.8531468531468531,0.8169014084507042,0.8098591549295775,0.8380281690140845,0.832817886339013,0.016725426018555593,2
2.083363437652588,0.13225467179554934,0.15186161994934083,0.01259467623473762,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.8391608391608392,0.8461538461538461,0.8169014084507042,0.8169014084507042,0.8450704225352113,0.832837584950261,0.013227789796360712,1
